Gene	Essentiality	Control	Condition	Replicates	loci	description	old_loci
SAUSA300_0343	always non-essential	0	0	4	SAUSA300_RS01820	GNAT family N-acetyltransferase	SAUSA300_0343
SAUSA300_0344	always non-essential	0	0	4	SAUSA300_RS01825	EfeM/EfeO family lipoprotein	SAUSA300_0344
SAUSA300_0345	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0346	always non-essential	0	0	4	SAUSA300_RS01835	FTR1 family protein	SAUSA300_0346
SAUSA300_0348	always non-essential	0	0	4	SAUSA300_RS01845	twin-arginine translocase TatA/TatE family subunit	SAUSA300_0348
SAUSA300_0349	always non-essential	0	0	4	SAUSA300_RS01850	DUF1398 family protein	SAUSA300_0349
SAUSA300_0350	always non-essential	0	0	4	SAUSA300_RS01855	helix-turn-helix transcriptional regulator	SAUSA300_0350
SAUSA300_0351	always non-essential	0	0	4	SAUSA300_RS01860	DUF3169 family protein	SAUSA300_0351
SAUSA300_0352	always non-essential	0	0	4	SAUSA300_RS01865	ABC transporter ATP-binding protein	SAUSA300_0352
SAUSA300_0353	always non-essential	0	0	4	SAUSA300_RS01870	ABC-2 transporter permease	SAUSA300_0353
SAUSA300_0355	always essential	4	4	4	SAUSA300_RS01885	acetyl-CoA C-acetyltransferase	SAUSA300_0355
SAUSA300_0356	always non-essential	0	0	4	SAUSA300_RS01890	cyclase family protein	SAUSA300_0356
SAUSA300_0358	always non-essential	0	0	4	SAUSA300_RS01900	bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase	SAUSA300_0358
SAUSA300_0359	always non-essential	0	0	4	SAUSA300_RS01905	PLP-dependent aspartate aminotransferase family protein	SAUSA300_0359
SAUSA300_0360	always non-essential	0	0	4	SAUSA300_RS01910	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	SAUSA300_0360
SAUSA300_0361	always non-essential	0	0	4	SAUSA300_RS01915	ParB/RepB/Spo0J family partition protein	SAUSA300_0361
SAUSA300_0362	always non-essential	0	0	4	SAUSA300_RS01920	mechanosensitive ion channel family protein	SAUSA300_0362
SAUSA300_0363	always non-essential	0	0	4	SAUSA300_RS01925	DUF951 domain-containing protein	SAUSA300_0363
SAUSA300_0365	always non-essential	0	0	4	SAUSA300_RS01935	hypothetical protein	SAUSA300_0365
SAUSA300_0369	always non-essential	0	0	4	SAUSA300_RS01955	Abi family protein	SAUSA300_0369
SAUSA300_0370	always non-essential	0	0	4	SAUSA300_RS01970	staphylococcal enterotoxin-like toxin X	SAUSA300_0370
SAUSA300_0371	always non-essential	0	0	4	SAUSA300_RS01975	YxeA family protein	SAUSA300_0371
SAUSA300_0372	always non-essential	0	0	4	SAUSA300_RS01980	PepSY domain-containing protein	SAUSA300_0372
SAUSA300_0373	always non-essential	0	0	4	SAUSA300_RS01985	helix-turn-helix domain-containing protein	SAUSA300_0373
SAUSA300_0374	always non-essential	0	0	4	SAUSA300_RS01990	GlsB/YeaQ/YmgE family stress response membrane protein	SAUSA300_0374
SAUSA300_0375	always non-essential	0	0	4	SAUSA300_RS02000	phosphoglycerate mutase family protein	SAUSA300_0375
SAUSA300_0376	always non-essential	0	0	4	SAUSA300_RS02005	hypothetical protein	SAUSA300_0376
SAUSA300_0377	always non-essential	0	0	4	SAUSA300_RS02010	NDxxF motif lipoprotein	SAUSA300_0377
SAUSA300_0378	always non-essential	0	0	4	SAUSA300_RS02015	hypothetical protein	SAUSA300_0378
SAUSA300_0381	always non-essential	0	0	4	SAUSA300_RS02030	NADPH-dependent oxidoreductase	SAUSA300_0381
SAUSA300_0382	always non-essential	0	0	4	SAUSA300_RS02035	L-cystine transporter	SAUSA300_0382
SAUSA300_0383	always non-essential	0	0	4	SAUSA300_RS02045	hypothetical protein	SAUSA300_0383
SAUSA300_0384	always non-essential	0	0	4	SAUSA300_RS02050	hypothetical protein	SAUSA300_0384
SAUSA300_0385	always non-essential	0	0	4	SAUSA300_RS02055	general stress protein	SAUSA300_0385
SAUSA300_0390	always non-essential	0	0	4	SAUSA300_RS02080	hypothetical protein	SAUSA300_0390
SAUSA300_0391	always non-essential	0	0	4	SAUSA300_RS02085	type II toxin-antitoxin system PemK/MazF family toxin	SAUSA300_0391
SAUSA300_0392	always non-essential	0	0	4	SAUSA300_RS02095	hypothetical protein	SAUSA300_0392
SAUSA300_0393	always non-essential	0	0	4	SAUSA300_RS02100	DUF1304 domain-containing protein	SAUSA300_0393
SAUSA300_0394	always non-essential	0	0	4	SAUSA300_RS02105	SDR family oxidoreductase	SAUSA300_0394
SAUSA300_0395	always non-essential	0	0	4	SAUSA300_RS02110	superantigen-like protein SSL1	SAUSA300_0395
SAUSA300_0397	always non-essential	0	0	4	SAUSA300_RS02120	superantigen-like protein SSL3	SAUSA300_0397
SAUSA300_0398	always non-essential	0	0	4	SAUSA300_RS02130	superantigen-like protein SSL4	SAUSA300_0398
SAUSA300_0399	always non-essential	0	0	4	SAUSA300_RS02135	superantigen-like protein SSL5	SAUSA300_0399
SAUSA300_0400	always non-essential	0	0	4	SAUSA300_RS02145	superantigen-like protein SSL6	SAUSA300_0400
SAUSA300_0401	always non-essential	0	0	4	SAUSA300_RS02150	superantigen-like protein SSL7	SAUSA300_0401
SAUSA300_0402	always non-essential	0	0	4	SAUSA300_RS02155	superantigen-like protein SSL8	SAUSA300_0402
SAUSA300_0403	always non-essential	0	0	4	SAUSA300_RS02160	superantigen-like protein SSL9	SAUSA300_0403
SAUSA300_0404	always non-essential	0	0	4	SAUSA300_RS02165	superantigen-like protein SSL10	SAUSA300_0404
SAUSA300_0406	always non-essential	0	0	4	SAUSA300_RS02180	restriction endonuclease subunit S	SAUSA300_0406
SAUSA300_0407	always non-essential	0	0	4	SAUSA300_RS02185	superantigen-like protein SSL11	SAUSA300_0407
SAUSA300_0408	always non-essential	0	0	4	SAUSA300_RS02190	FKLRK protein	SAUSA300_0408
SAUSA300_0409	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0410	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0411	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0412	always non-essential	0	0	4	SAUSA300_RS02210	tandem-type lipoprotein	SAUSA300_0412
SAUSA300_0413	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0414	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0416	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0417	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0418	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0419	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0420	always non-essential	0	0	4	SAUSA300_RS02250	hypothetical protein	SAUSA300_0420
SAUSA300_0421	always non-essential	0	0	4	SAUSA300_RS02255	hypothetical protein	SAUSA300_0421
SAUSA300_0422	always non-essential	0	0	4	SAUSA300_RS02260	hypothetical protein	SAUSA300_0422
SAUSA300_0423	always non-essential	0	0	4	SAUSA300_RS02265	hypothetical protein	SAUSA300_0423
SAUSA300_0424	always non-essential	0	0	4	SAUSA300_RS02270	GTP-binding protein	SAUSA300_0424
SAUSA300_0425	probably always essential	4	3	4	SAUSA300_RS02280	NADH dehydrogenase subunit 5	SAUSA300_0425
SAUSA300_0426	always essential	4	4	4	SAUSA300_RS02285	YbcC family protein	SAUSA300_0426
SAUSA300_0427	probably essential in control	4	1	4	SAUSA300_RS02290	DUF2294 domain-containing protein	SAUSA300_0427
SAUSA300_0428	always non-essential	0	0	4	SAUSA300_RS15095	hypothetical protein	SAUSA300_0428
SAUSA300_0429	always non-essential	0	0	4	SAUSA300_RS02300	phosphatase PAP2 family protein	SAUSA300_0429
SAUSA300_0430	always non-essential	0	0	4	SAUSA300_RS02305	carboxylesterase	SAUSA300_0430
SAUSA300_0431	always non-essential	0	0	4	SAUSA300_RS02310	hypothetical protein	SAUSA300_0431
SAUSA300_0432	always non-essential	0	0	4	SAUSA300_RS02315	sodium-dependent transporter	SAUSA300_0432
SAUSA300_0435	always non-essential	0	0	4	SAUSA300_RS02330	methionine ABC transporter ATP-binding protein	SAUSA300_0435
SAUSA300_0436	always non-essential	0	0	4	SAUSA300_RS02335	ABC transporter permease	SAUSA300_0436
SAUSA300_0437	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0438	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0439	always non-essential	0	0	4	SAUSA300_RS02350	hypothetical protein	SAUSA300_0439
SAUSA300_0440	always non-essential	0	0	4	SAUSA300_RS02355	NUDIX domain-containing protein	SAUSA300_0440
SAUSA300_0441	always non-essential	0	0	4	SAUSA300_RS02360	GNAT family N-acetyltransferase	SAUSA300_0441
SAUSA300_0442	always non-essential	0	0	4	SAUSA300_RS02365	YibE/F family protein	SAUSA300_0442
SAUSA300_0443	always non-essential	0	0	4	SAUSA300_RS02370	YibE/F family protein	SAUSA300_0443
SAUSA300_0447	always non-essential	0	0	4	SAUSA300_RS02390	tRNA-Ser	SAUSA300_0447
SAUSA300_0451	always non-essential	0	0	4	SAUSA300_RS02415	N-acetyltransferase	SAUSA300_0451
SAUSA300_0453	probably always essential	4	3	4	SAUSA300_RS02425	YbaB/EbfC family nucleoid-associated protein	SAUSA300_0453
SAUSA300_0458	always non-essential	0	0	4	SAUSA300_RS02455	aminotransferase class V-fold PLP-dependent enzyme	SAUSA300_0458
SAUSA300_0460	always non-essential	0	0	4	SAUSA300_RS02465	cyclic-di-AMP receptor	SAUSA300_0460
SAUSA300_0462	always non-essential	0	0	4	SAUSA300_RS02480	stage 0 sporulation family protein	SAUSA300_0462
SAUSA300_0463	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0464	always non-essential	0	0	4	SAUSA300_RS02490	tRNA1(Val) (adenine(37)-N6)-methyltransferase	SAUSA300_0464
SAUSA300_0465	always non-essential	0	0	4	SAUSA300_RS02495	GIY-YIG nuclease family protein	SAUSA300_0465
SAUSA300_0466	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0468	always non-essential	0	0	4	SAUSA300_RS02515	TatD family hydrolase	SAUSA300_0468
SAUSA300_0469	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0471	probably always non-essential	0	1	4	SAUSA300_RS02530	Veg family protein	SAUSA300_0471
SAUSA300_0474	always non-essential	0	0	4	SAUSA300_RS02545	RidA family protein	SAUSA300_0474
SAUSA300_0475	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0476	always non-essential	0	0	4	SAUSA300_RS02555	hypothetical protein	SAUSA300_0476
SAUSA300_0479	probably always non-essential	1	1	4	SAUSA300_RS02575	50S ribosomal protein L25/general stress protein Ctc	SAUSA300_0479
SAUSA300_0482	always non-essential	0	0	4	SAUSA300_RS02590	polysaccharide biosynthesis protein	SAUSA300_0482
SAUSA300_0483	always non-essential	0	0	4	SAUSA300_RS02595	nucleotide pyrophosphohydrolase	SAUSA300_0483
SAUSA300_0484	always non-essential	0	0	4	SAUSA300_RS02600	RNA-binding S4 domain-containing protein	SAUSA300_0484
SAUSA300_0485	always essential	4	4	4	SAUSA300_RS02605	septum formation initiator family protein	SAUSA300_0485
SAUSA300_0486	always non-essential	0	0	4	SAUSA300_RS02610	RNA-binding protein S1	SAUSA300_0486
SAUSA300_0487	always essential	4	4	4	NA	NA	NA
SAUSA300_0489	inconsistent replicates	3	2	4	NA	NA	NA
SAUSA300_0490	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0495	always non-essential	0	0	4	SAUSA300_RS02655	hypothetical protein	SAUSA300_0495
SAUSA300_0498	always essential	4	4	4	SAUSA300_RS02670	tRNA-Ala	SAUSA300_0498
SAUSA300_0500	inconsistent replicates	1	2	4	NA	NA	NA
SAUSA300_0503	always non-essential	0	0	4	SAUSA300_RS02695	PLP-dependent aminotransferase family protein	SAUSA300_0503
SAUSA300_0504	probably essential in control	4	1	4	NA	NA	NA
SAUSA300_0505	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0508	always non-essential	0	0	4	SAUSA300_RS02720	UvrB/UvrC motif-containing protein	SAUSA300_0508
SAUSA300_0509	always non-essential	0	0	4	SAUSA300_RS02725	protein arginine kinase	SAUSA300_0509
SAUSA300_0512	always non-essential	0	0	4	SAUSA300_RS02745	PIN/TRAM domain-containing protein	SAUSA300_0512
SAUSA300_0516	always non-essential	0	0	4	SAUSA300_RS02765	Mini-ribonuclease 3	SAUSA300_0516
SAUSA300_0517	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0518	always non-essential	0	0	4	SAUSA300_RS02775	NYN domain-containing protein	SAUSA300_0518
SAUSA300_0519	always non-essential	0	0	4	SAUSA300_RS02780	RNA polymerase sigma factor	SAUSA300_0519
SAUSA300_0520	inconsistent replicates	3	2	4	NA	NA	NA
SAUSA300_0526	always non-essential	0	0	4	SAUSA300_RS02815	class I SAM-dependent methyltransferase	SAUSA300_0526
SAUSA300_0529	inconsistent replicates	0	2	4	SAUSA300_RS02830	ribosomal L7Ae/L30e/S12e/Gadd45 family protein	SAUSA300_0529
SAUSA300_0531	always essential	4	4	4	NA	NA	NA
SAUSA300_0534	always non-essential	0	0	4	SAUSA300_RS02855	M20 family metallopeptidase	SAUSA300_0534
SAUSA300_0535	always non-essential	0	0	4	SAUSA300_RS02860	glycine C-acetyltransferase	SAUSA300_0535
SAUSA300_0536	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0537	always non-essential	0	0	4	SAUSA300_RS02870	ribulokinase	SAUSA300_0537
SAUSA300_0538	always non-essential	0	0	4	SAUSA300_RS02875	NAD-dependent epimerase/dehydratase family protein	SAUSA300_0538
SAUSA300_0540	always non-essential	0	0	4	SAUSA300_RS02885	HAD family hydrolase	SAUSA300_0540
SAUSA300_0541	always non-essential	0	0	4	SAUSA300_RS02890	deoxynucleoside kinase	SAUSA300_0541
SAUSA300_0542	always non-essential	0	0	4	SAUSA300_RS02895	deoxynucleoside kinase	SAUSA300_0542
SAUSA300_0543	probably always non-essential	0	1	4	SAUSA300_RS02900	tRNA adenosine(34) deaminase TadA	SAUSA300_0543
SAUSA300_0544	always non-essential	0	0	4	SAUSA300_RS02905	Cof-type HAD-IIB family hydrolase	SAUSA300_0544
SAUSA300_0545	always non-essential	0	0	4	SAUSA300_RS02910	NAD(P)H-dependent oxidoreductase	SAUSA300_0545
SAUSA300_0549	always non-essential	0	0	4	SAUSA300_RS02930	glycosyltransferase	SAUSA300_0549
SAUSA300_0550	always non-essential	0	0	4	SAUSA300_RS02935	glycosyltransferase	SAUSA300_0550
SAUSA300_0551	probably essential in control	4	1	4	SAUSA300_RS02940	GTP cyclohydrolase FolE2	SAUSA300_0551
SAUSA300_0552	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0553	always non-essential	0	0	4	SAUSA300_RS02950	YojF family protein	SAUSA300_0553
SAUSA300_0554	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0555	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0556	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0557	always non-essential	0	0	4	SAUSA300_RS02970	HAD family hydrolase	SAUSA300_0557
SAUSA300_0558	always non-essential	0	0	4	SAUSA300_RS02975	MFS transporter	SAUSA300_0558
SAUSA300_0559	always non-essential	0	0	4	SAUSA300_RS02985	long-chain fatty acid--CoA ligase	SAUSA300_0559
SAUSA300_0561	always non-essential	0	0	4	SAUSA300_RS02995	protein VraC	SAUSA300_0561
SAUSA300_0564	always non-essential	0	0	4	SAUSA300_RS03020	DUF5327 family protein	SAUSA300_0564
SAUSA300_0565	always non-essential	0	0	4	SAUSA300_RS03025	DUF423 domain-containing protein	SAUSA300_0565
SAUSA300_0566	always non-essential	0	0	4	SAUSA300_RS03030	APC family permease	SAUSA300_0566
SAUSA300_0567	always non-essential	0	0	4	SAUSA300_RS03035	threonine/serine exporter family protein	SAUSA300_0567
SAUSA300_0568	always non-essential	0	0	4	SAUSA300_RS03040	threonine/serine exporter ThrE family protein	SAUSA300_0568
SAUSA300_0569	always essential	4	4	4	SAUSA300_RS03045	heme-dependent peroxidase	SAUSA300_0569
SAUSA300_0571	always essential	4	4	4	SAUSA300_RS03055	lipoate--protein ligase family protein	SAUSA300_0571
SAUSA300_0574	always essential	4	4	4	SAUSA300_RS03070	phosphomevalonate kinase	SAUSA300_0574
SAUSA300_0575	always non-essential	0	0	4	SAUSA300_RS03075	DUF1450 domain-containing protein	SAUSA300_0575
SAUSA300_0576	always non-essential	0	0	4	SAUSA300_RS03080	FAD-containing oxidoreductase	SAUSA300_0576
SAUSA300_0577	always non-essential	0	0	4	SAUSA300_RS03085	Rrf2 family transcriptional regulator	SAUSA300_0577
SAUSA300_0578	always non-essential	0	0	4	SAUSA300_RS03090	hypothetical protein	SAUSA300_0578
SAUSA300_0579	always non-essential	0	0	4	SAUSA300_RS03095	transposase	SAUSA300_0579
SAUSA300_0580	always non-essential	0	0	4	SAUSA300_RS03100	DUF443 family protein	SAUSA300_0580
SAUSA300_0581	always non-essential	0	0	4	SAUSA300_RS03105	DUF443 domain-containing protein	SAUSA300_0581
SAUSA300_0582	always non-essential	0	0	4	SAUSA300_RS03110	DUF443 family protein	SAUSA300_0582
SAUSA300_0583	always non-essential	0	0	4	SAUSA300_RS03125	DUF443 family protein	SAUSA300_0583
SAUSA300_0584	always non-essential	0	0	4	SAUSA300_RS03130	DUF443 domain-containing protein	SAUSA300_0584
SAUSA300_0585	always non-essential	0	0	4	SAUSA300_RS03140	DUF443 domain-containing protein	SAUSA300_0585
SAUSA300_0586	always non-essential	0	0	4	SAUSA300_RS03145	DUF443 family protein	SAUSA300_0586
SAUSA300_0587	always non-essential	0	0	4	SAUSA300_RS03150	DUF443 domain-containing protein	SAUSA300_0587
SAUSA300_0588	always non-essential	0	0	4	SAUSA300_RS03160	DUF443 domain-containing protein	SAUSA300_0588
SAUSA300_0589	always non-essential	0	0	4	SAUSA300_RS03165	aldo/keto reductase	SAUSA300_0589
SAUSA300_0590	always non-essential	0	0	4	SAUSA300_RS03170	flavodoxin family protein	SAUSA300_0590
SAUSA300_0591	always non-essential	0	0	4	SAUSA300_RS03175	GNAT family N-acetyltransferase	SAUSA300_0591
SAUSA300_0592	always non-essential	0	0	4	SAUSA300_RS03180	HD domain-containing protein	SAUSA300_0592
SAUSA300_0593	always non-essential	0	0	4	SAUSA300_RS03185	YwhD family protein	SAUSA300_0593
SAUSA300_0595	always non-essential	0	0	4	SAUSA300_RS03200	DUF1934 domain-containing protein	SAUSA300_0595
SAUSA300_0597	always non-essential	0	0	4	SAUSA300_RS03210	endonuclease III domain-containing protein	SAUSA300_0597
SAUSA300_0598	always non-essential	0	0	4	SAUSA300_RS03215	ABC transporter substrate-binding protein	SAUSA300_0598
SAUSA300_0599	always non-essential	0	0	4	SAUSA300_RS03220	iron ABC transporter permease	SAUSA300_0599
SAUSA300_0600	always non-essential	0	0	4	SAUSA300_RS03225	HAD family hydrolase	SAUSA300_0600
SAUSA300_0601	always non-essential	0	0	4	SAUSA300_RS03230	alpha/beta hydrolase	SAUSA300_0601
SAUSA300_0602	always non-essential	0	0	4	SAUSA300_RS03235	hypothetical protein	SAUSA300_0602
SAUSA300_0603	always non-essential	0	0	4	SAUSA300_RS03240	hypothetical protein	SAUSA300_0603
SAUSA300_0604	always non-essential	0	0	4	SAUSA300_RS03245	alpha/beta hydrolase	SAUSA300_0604
SAUSA300_0606	always non-essential	0	0	4	SAUSA300_RS03255	DMT family transporter	SAUSA300_0606
SAUSA300_0607	always non-essential	0	0	4	SAUSA300_RS03260	DUF2922 domain-containing protein	SAUSA300_0607
SAUSA300_0608	always non-essential	0	0	4	SAUSA300_RS03265	DUF1659 domain-containing protein	SAUSA300_0608
SAUSA300_0609	always non-essential	0	0	4	SAUSA300_RS03270	tyrosine-type recombinase/integrase	SAUSA300_0609
SAUSA300_0610	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0611	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0612	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0613	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0614	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0615	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0616	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0617	always non-essential	0	0	4	SAUSA300_RS03310	sodium:proton antiporter	SAUSA300_0617
SAUSA300_0618	probably essential in control	4	1	4	SAUSA300_RS03315	metal ABC transporter substrate-binding protein	SAUSA300_0618
SAUSA300_0619	inconsistent replicates	2	0	4	SAUSA300_RS03320	metal ABC transporter permease	SAUSA300_0619
SAUSA300_0620	inconsistent replicates	2	0	4	SAUSA300_RS03325	metal ABC transporter ATP-binding protein	SAUSA300_0620
SAUSA300_0621	always non-essential	0	0	4	SAUSA300_RS03330	metal-dependent transcriptional regulator	SAUSA300_0621
SAUSA300_0622	always non-essential	0	0	4	SAUSA300_RS03335	M50 family metallopeptidase	SAUSA300_0622
SAUSA300_0628	probably always essential	4	3	4	NA	NA	NA
SAUSA300_0630	always non-essential	0	0	4	SAUSA300_RS03375	ABC transporter ATP-binding protein/permease	SAUSA300_0630
SAUSA300_0631	always non-essential	0	0	4	SAUSA300_RS03380	nucleoside permease	SAUSA300_0631
SAUSA300_0632	always non-essential	0	0	4	SAUSA300_RS03390	YitT family protein	SAUSA300_0632
SAUSA300_0636	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0637	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0638	always non-essential	0	0	4	SAUSA300_RS03420	PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM	SAUSA300_0638
SAUSA300_0639	always essential	4	4	4	SAUSA300_RS03425	hypothetical protein	SAUSA300_0639
SAUSA300_0640	always non-essential	0	0	4	SAUSA300_RS03430	membrane protein	SAUSA300_0640
SAUSA300_0641	always non-essential	0	0	4	SAUSA300_RS03435	alpha/beta hydrolase	SAUSA300_0641
SAUSA300_0642	always non-essential	0	0	4	SAUSA300_RS03445	hypothetical protein	SAUSA300_0642
